x,y
-0,0
0.0509289,0.0932575
0.106416,0.195901
0.16144,0.297436
0.215542,0.396995
0.280208,0.515605
0.334867,0.615055
0.39616,0.72626
0.460537,0.84413
0.529414,0.969677
0.599898,1.09746
0.672122,1.22846
0.722884,1.32049
0.792202,1.44617
0.864894,1.57791
0.91402,1.66685
0.963565,1.75666
1.03637,1.88864
1.085,1.97684
1.15842,2.10994
1.23116,2.24156
1.30518,2.37565
1.37725,2.50604
1.44838,2.63481
1.49719,2.72314
1.5469,2.81331
1.61681,2.93986
1.68881,3.07012
1.73814,3.15931
1.80889,3.28722
1.88183,3.41897
1.93211,3.50989
1.985,3.60588
2.0372,3.70027
2.0946,3.80405
2.15006,3.9045
2.2054,4.00482
2.26453,4.1117
2.32493,4.22118
2.3855,4.33078
2.44931,4.44619
2.5136,4.56272
2.5784,4.67999
2.64555,4.80159
2.71323,4.9243
2.78065,5.04639
2.85115,5.17393
2.91867,5.29627
2.98462,5.41564
3.05271,5.53897
3.11955,5.66007
3.18898,5.78563
3.25853,5.91144
3.32944,6.03984
3.40135,6.16998
3.47523,6.30333
3.54915,6.43693
3.62325,6.57103
3.69906,6.70785
3.77648,6.84776
3.8541,6.9878
3.93121,7.12684
4.00884,7.267
4.0846,7.40382
4.16197,7.54361
4.24114,7.68674
4.32,7.82912
4.39857,7.97114
4.47886,8.11612
4.56097,8.26432
4.64417,8.41438
4.72726,8.56419
4.81126,8.71573
4.89513,8.86703
4.97743,9.01548
5.05744,9.15984
5.14143,9.31139
5.22179,9.45637
5.30254,9.6021
5.38346,9.74807
5.4641,9.89355
5.5433,10.0363
5.62413,10.1822
5.70685,10.3314
5.78682,10.4756
5.87172,10.6289
5.95508,10.7792
6.03992,10.9325
6.12643,11.0886
6.21615,11.2503
6.30324,11.407
6.38941,11.5621
6.47879,11.7228
6.56608,11.8801
6.65725,12.0444
6.74129,12.1957
6.8297,12.3549
6.91468,12.508
7.00012,12.6618
7.08538,12.8154
7.17177,12.9712
7.25987,13.1299
7.34393,13.2815
7.43478,13.4453
7.51974,13.5984
7.60742,13.7566
7.69775,13.9198
7.78641,14.08
7.87599,14.2417
7.96765,14.4068
8.05675,14.5675
8.14736,14.7309
8.23559,14.8902
8.32616,15.0536
8.41777,15.2187
8.51049,15.3861
8.6023,15.5516
8.69509,15.7189
8.78951,15.8892
8.83962,15.9795
8.97727,16.2279
9.07319,16.4011
9.16658,16.5699
9.25847,16.7358
9.30696,16.8235
9.40489,17.0004
9.54394,17.2515
9.642,17.4285
9.73983,17.6052
9.83783,17.7821
9.89202,17.8799
9.94457,17.9747
10.0392,18.1454
10.1386,18.3248
10.1897,18.417
10.2423,18.5121
10.2915,18.6008
10.3409,18.6898
10.4401,18.869
10.4909,18.9604
10.5402,19.0494
10.5932,19.1453
10.6479,19.2439
10.725,19.3832
10.7848,19.491
10.8494,19.6077
10.8993,19.6975
10.9506,19.7902
11.0563,19.9807
11.1075,20.0732
11.1584,20.165
11.2103,20.2584
11.2632,20.3538
11.3664,20.54
